Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
Ponnusamy Hotel, Chennai,Egmore,Beverages,3.4,3.7,127,0,243.8483146067416,178
Potful - Claypot Biryanis, Chennai,Anna Nagar West,North Indian,3.822264031240087,4.2,0,0,520.0123456790124,81
Reena Paul's Kitchen, Chennai,Anna Nagar West,Chinese,3.822264031240087,4.1,0,0,226.81182795698925,186
Riyas Biriyani, Chennai,Purasavakkam,Fast Food,3.9,3.8,5,960,126.75675675675676,37
Salem RR Biriyani Unavagam, Chennai,Triplicane,Seafood,4.0,3.5,47,0,317.52564102564105,78
Sam's Pork And Beef, Chennai,Anna Nagar East,Biryani,3.822264031240087,3.9,0,788,198.625,24
Samco, Chennai,Alwarpet,Beverages,3.8,4.2,634,0,289.77966101694915,354
Sangeetha Veg Restaurant - Gandhi Irwin Road, Chennai,Egmore,Shake,3.8,4.1,236,0,188.4761886792453,265
Savoury Sea Shell, Chennai,Thousand Lights,Sichuan,4.0,4.1,848,0,346.9126050420168,595
Shawarma Kings, Chennai,Anna Nagar East,Kebab,3.822264031240087,4.0,0,0,176.48809523809524,84
Shero Home Food - Chettinad, Chennai,Vepery,Desserts,3.822264031240087,3.9,0,41,139.32679738562092,153
Shree Konar Vilas, Chennai,Purasavakkam,Biryani,4.3,3.9,208,0,254.91869918699183,123
Subway, Chennai,Kilpauk,Fast Food,3.8,3.5,192,0,245.1002430133657,823
"T Shop - Tea, Snacks & More", Chennai,Royapettah,Beverages,3.9,3.9,30,824,121.88288288288288,111
Taj Mughalai, Chennai,Purasavakkam,Sichuan,3.822264031240087,3.6,0,717,141.9731543624161,149
Taste Of Turkey, Chennai,George Town,Kebab,3.822264031240087,4.3,0,258,197.34375,32
Thanjai Veeraswamy, Chennai,T. Nagar,Beverages,4.1,3.7,121,0,237.2280701754386,114
The Burger Cafe, Chennai,Perambur,Shake,3.822264031240087,4.0,0,868,114.51515151515152,66
The Chef Company, Chennai,Nungambakkam,Healthy Food,3.822264031240087,4.2,0,0,216.2450980392157,204
The High Joint, Chennai,Alwarpet,Beverages,3.822264031240087,4.2,0,264,256.5681818181818,44
The Kati Roll Shop, Chennai,Gopalapuram,Kebab,4.2,4.0,422,0,224.9333333333333,75
